                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91596,                0.53975,                0.98855,                0.99441,                0.96195,                0.97629,                 0.7272,                0.96006,                0.52992,                 1.0076,              0.0013268,              0.0013268,              0.0013268
                     36,                0.93277,                0.53887,                0.99233,                0.98708,                0.96216,                0.97927,                0.71936,                 0.9539,                0.53637,                 0.9953,               0.001307,               0.001307,               0.001307
                     37,                0.92334,                0.54987,                 1.0023,                0.98314,                0.94583,                0.97746,                0.69842,                 1.0732,                 0.5509,                 1.0405,              0.0012872,              0.0012872,              0.0012872
                     38,                 0.9372,                0.52046,                 1.0053,                0.98895,                 0.9672,                0.98334,                0.72274,                0.95205,                 0.4911,                 1.0026,              0.0012674,              0.0012674,              0.0012674
                     39,                0.93257,                0.52312,                0.99027,                0.98293,                0.96216,                0.98035,                 0.7212,                 1.0137,                0.51358,                 1.0317,              0.0012476,              0.0012476,              0.0012476
                     40,                0.91947,                0.53201,                 1.0056,                0.99437,                0.95532,                0.97382,                0.72902,                 0.9864,                0.54817,                 1.0274,              0.0012278,              0.0012278,              0.0012278
                     41,                0.87495,                0.50553,                0.98212,                0.98882,                0.95633,                0.97449,                0.69661,                 1.0277,                0.54736,                  1.049,               0.001208,               0.001208,               0.001208
                     42,                0.91734,                  0.534,                0.98555,                 0.9835,                0.96647,                0.97474,                0.74057,                0.92094,                0.50102,                0.99766,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.9023,                0.52491,                0.99458,                0.98259,                0.96757,                0.97477,                0.72456,                0.95697,                0.49676,                 1.0073,              0.0011684,              0.0011684,              0.0011684
                     44,                0.86772,                0.49774,                0.96431,                0.97621,                0.96216,                0.98198,                 0.7342,                0.98469,                0.49221,                 1.0143,              0.0011486,              0.0011486,              0.0011486
                     45,                0.89269,                0.49967,                0.99145,                0.98862,                0.97297,                0.98136,                0.74282,                0.94607,                0.49032,                0.99741,              0.0011288,              0.0011288,              0.0011288
                     46,                0.85714,                0.49731,                0.97539,                0.99728,                0.96216,                0.98311,                0.73188,                0.97055,                0.50845,                 1.0138,               0.001109,               0.001109,               0.001109
                     47,                0.87179,                0.49094,                0.98016,                0.98772,                0.96757,                0.97983,                0.71846,                  1.049,                0.51282,                 1.0354,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.8892,                0.49338,                0.97866,                0.99074,                0.95676,                0.98072,                0.75572,                0.96258,                0.46219,                 1.0216,              0.0010694,              0.0010694,              0.0010694
                     49,                0.86092,                0.49278,                0.96937,                0.99444,                0.96712,                 0.9806,                0.72864,                  1.006,                 0.5023,                  1.038,              0.0010496,              0.0010496,              0.0010496
                     50,                0.91004,                0.54416,                0.99835,                0.99034,                0.95135,                0.97557,                0.71233,                0.99277,                0.52948,                 1.0129,              0.0010298,              0.0010298,              0.0010298
                     51,                0.86559,                0.50222,                0.98022,                0.98349,                0.96599,                0.97708,                0.74544,                0.91203,                0.49166,                0.99433,                0.00101,                0.00101,                0.00101
                     52,                0.84914,                0.47151,                0.97923,                0.99306,                0.96216,                0.98145,                0.71935,                0.99203,                0.48923,                   1.02,              0.0009902,              0.0009902,              0.0009902
                     53,                0.86816,                0.47253,                0.97184,                0.98766,                0.96216,                 0.9844,                0.74609,                0.92635,                0.46396,                 1.0051,              0.0009704,              0.0009704,              0.0009704
                     54,                0.83997,                0.46516,                0.97781,                0.98887,                0.96047,                0.97586,                0.72192,                0.99898,                0.49981,                  1.017,              0.0009506,              0.0009506,              0.0009506
                     55,                0.83354,                0.46457,                0.96005,                0.98741,                0.95676,                0.97877,                0.73368,                 0.9782,                0.49674,                 1.0266,              0.0009308,              0.0009308,              0.0009308
                     56,                0.85509,                0.48139,                0.97024,                0.98218,                0.96757,                0.98131,                0.73925,                0.96663,                0.47233,                 1.0237,               0.000911,               0.000911,               0.000911
                     57,                0.84314,                0.50394,                0.96777,                0.98894,                0.96689,                0.97921,                0.72975,                0.98131,                0.48969,                 1.0193,              0.0008912,              0.0008912,              0.0008912
                     58,                0.82643,                0.47417,                0.96459,                 0.9828,                0.97297,                0.97472,                0.72053,                 0.9341,                0.46588,                 1.0023,              0.0008714,              0.0008714,              0.0008714
                     59,                0.84832,                0.46287,                0.96466,                  0.989,                0.97193,                0.98099,                0.74295,                0.91518,                0.46649,                0.98948,              0.0008516,              0.0008516,              0.0008516
                     60,                0.80964,                0.46668,                0.96285,                0.98791,                0.97297,                0.98494,                0.75327,                0.90027,                0.45877,                0.99498,              0.0008318,              0.0008318,              0.0008318
                     61,                0.81123,                0.44988,                0.95771,                0.98893,                0.96611,                0.97906,                0.66261,                 1.1243,                0.50589,                 1.0584,               0.000812,               0.000812,               0.000812
                     62,                0.82146,                0.46826,                0.96072,                0.98359,                0.97176,                0.97792,                0.73036,                0.92737,                0.46622,                 1.0039,              0.0007922,              0.0007922,              0.0007922
                     63,                0.81993,                0.45105,                0.95905,                0.98894,                0.96699,                0.97919,                0.72493,                0.98272,                0.47612,                 1.0166,              0.0007724,              0.0007724,              0.0007724
                     64,                0.78515,                0.44237,                0.94806,                0.98832,                0.96757,                 0.9844,                0.74452,                0.96922,                0.45817,                 1.0154,              0.0007526,              0.0007526,              0.0007526
                     65,                0.80011,                0.44188,                0.94943,                0.98666,                0.96757,                0.98332,                0.74972,                0.94402,                0.46238,                0.99011,              0.0007328,              0.0007328,              0.0007328
                     66,                0.81788,                0.45915,                0.95515,                 0.9782,                0.97043,                0.97973,                0.75645,                0.92049,                0.46507,                0.98885,               0.000713,               0.000713,               0.000713
                     67,                0.81163,                0.46707,                0.95631,                0.99444,                0.96689,                0.98397,                0.75816,                0.93235,                0.44284,                0.99312,              0.0006932,              0.0006932,              0.0006932
                     68,                0.78726,                0.43166,                 0.9467,                      1,                0.95636,                0.97781,                0.74677,                0.89722,                0.45557,                0.99238,              0.0006734,              0.0006734,              0.0006734
                     69,                0.77574,                0.44027,                  0.942,                0.98894,                0.96699,                0.97959,                0.75404,                 0.9004,                0.46064,                0.99111,              0.0006536,              0.0006536,              0.0006536
                     70,                0.78558,                0.45395,                0.95689,                0.98901,                0.97253,                0.97765,                0.73161,                  0.938,                0.46087,                 1.0104,              0.0006338,              0.0006338,              0.0006338
                     71,                0.79689,                0.44494,                0.95069,                0.98886,                0.96757,                0.97623,                 0.7281,                0.92751,                0.45363,                  1.002,               0.000614,               0.000614,               0.000614
                     72,                0.79753,                0.44812,                0.95778,                0.98818,                0.96216,                0.97897,                 0.7547,                0.90626,                0.44241,                 1.0005,              0.0005942,              0.0005942,              0.0005942
                     73,                0.75095,                 0.4248,                0.93299,                0.99837,                0.95676,                0.98177,                0.75625,                0.91303,                0.44819,                 0.9935,              0.0005744,              0.0005744,              0.0005744
                     74,                0.75575,                0.42443,                0.94815,                0.98842,                0.96757,                0.98231,                0.76662,                0.90302,                 0.4546,                0.98905,              0.0005546,              0.0005546,              0.0005546
                     75,                0.76427,                0.41949,                0.93936,                0.98894,                 0.9669,                0.98339,                 0.7597,                0.94448,                0.46113,                 1.0053,              0.0005348,              0.0005348,              0.0005348
                     76,                0.75718,                 0.4275,                0.94811,                0.98815,                0.96757,                0.98056,                0.75455,                0.93514,                0.45762,                 1.0048,               0.000515,               0.000515,               0.000515
                     77,                0.74556,                 0.4108,                0.93238,                0.98351,                0.96728,                0.97622,                0.75109,                0.88277,                0.43136,                 0.9846,              0.0004952,              0.0004952,              0.0004952
                     78,                0.76097,                0.42373,                0.94288,                0.98895,                0.96756,                0.97943,                0.75775,                0.90356,                0.44829,                 1.0086,              0.0004754,              0.0004754,              0.0004754
                     79,                0.72583,                0.40307,                 0.9347,                0.99348,                0.96216,                0.97778,                0.73983,                0.94023,                0.44492,                 1.0116,              0.0004556,              0.0004556,              0.0004556
                     80,                0.72206,                0.41228,                 0.9323,                0.98792,                0.96757,                0.97538,                0.74327,                0.93554,                 0.4491,                 1.0162,              0.0004358,              0.0004358,              0.0004358
                     81,                0.72048,                0.40512,                0.91809,                0.98883,                0.95685,                0.97844,                0.74421,                0.92802,                0.43218,                 1.0053,               0.000416,               0.000416,               0.000416
                     82,                0.71263,                0.38854,                0.93311,                0.97761,                0.97297,                 0.9779,                 0.7493,                0.90165,                0.41544,                0.99728,              0.0003962,              0.0003962,              0.0003962
                     83,                0.70713,                 0.4026,                0.92603,                0.98299,                0.97297,                0.97761,                0.75233,                0.90895,                0.41862,                 1.0045,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.7429,                0.40141,                0.92492,                0.98855,                0.96216,                0.97733,                0.73613,                0.93201,                 0.4347,                 1.0092,              0.0003566,              0.0003566,              0.0003566
                     85,                0.72292,                0.39797,                0.92812,                0.98798,                0.96216,                0.98345,                0.73519,                 0.9686,                   0.45,                 1.0183,              0.0003368,              0.0003368,              0.0003368
                     86,                0.72401,                0.39856,                0.92793,                0.98895,                0.96731,                 0.9787,                0.75273,                0.89946,                0.42782,                 1.0029,               0.000317,               0.000317,               0.000317
